 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Município e Ano
Unidade da Federação: Santa Catarina
Período:2008-2020
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"420005 Abdon Batista";2725;2711;2697;2682;2668;2653;2638;2623;2607;2592;2577;2563;2548
"420010 Abelardo Luz";17277;17332;17386;17442;17500;17557;17614;17673;17731;17789;17847;17904;17960
"420020 Agrolândia";9188;9334;9479;9630;9782;9935;10088;10245;10402;10557;10711;10864;11013
"420030 Agronômica";4863;4925;4986;5050;5096;5161;5226;5293;5358;5423;5385;5448;5509
"420040 Água Doce";7064;7071;7078;7085;7093;7100;7108;7115;7123;7130;7138;7145;7152
"420050 Águas de Chapecó";6155;6183;6212;6242;6272;6302;6332;6363;6394;6425;6455;6486;6515
"420055 Águas Frias";2489;2477;2465;2453;2440;2428;2416;2403;2390;2378;2378;2366;2354
"420060 Águas Mornas";5467;5555;5641;5731;5822;5914;6005;6099;6193;6285;6378;6469;6559
"420070 Alfredo Wagner";9470;9519;9568;9619;9671;9722;9774;9827;9880;9932;9984;10036;10086
"420075 Alto Bela Vista";2060;2050;2039;2028;2017;2006;1994;1983;1971;1960;1948;1937;1926
"420080 Anchieta";6647;6567;6487;6404;6224;6141;6059;5973;5888;5804;5721;5638;5557
"420090 Angelina";5451;5394;5338;5280;5220;5161;5102;5041;4980;4920;4860;4801;4743
"420100 Anita Garibaldi";9110;8938;8767;8589;8409;8229;8048;7863;7678;7495;7313;7133;6957
"420110 Anitápolis";3276;3272;3268;3264;3259;3255;3250;3246;3241;3237;3236;3232;3228
"420120 Antônio Carlos";7388;7486;7583;7684;7787;7889;7992;8098;8203;8307;8411;8513;8613
"420125 Apiúna";9557;9660;9761;9867;9974;10080;10188;10298;10408;10516;10636;10743;10848
"420127 Arabutã";4262;4263;4263;4263;4264;4264;4265;4265;4265;4266;4266;4267;4267
"420130 Araquari";22516;23878;25225;26630;28053;29472;30902;32367;33825;35267;36710;38129;39524
"420140 Araranguá";61096;61720;62337;62981;63632;64282;64937;65608;66277;66937;67578;68228;68867
"420150 Armazém";7717;7800;7883;7969;8056;8143;8231;8321;8410;8498;8587;8674;8759
"420160 Arroio Trinta";3563;3562;3561;3560;3559;3557;3556;3555;3554;3552;3551;3550;3549
"420165 Arvoredo";2310;2304;2298;2292;2285;2279;2273;2266;2259;2253;2246;2240;2234
"420170 Ascurra";7450;7493;7536;7580;7625;7670;7715;7762;7808;7854;7889;7934;7978
"420180 Atalanta";3385;3370;3355;3339;3323;3307;3291;3275;3259;3242;3226;3210;3195
"420190 Aurora";5635;5638;5642;5646;5650;5654;5658;5662;5666;5670;5676;5679;5683
"420195 Balneário Arroio do Silva";9049;9400;9747;10109;10475;10841;11209;11587;11962;12334;12705;13071;13430
"420205 Balneário Barra do Sul";8104;8339;8571;8813;9058;9303;9549;9802;10053;10302;10550;10795;11035
