 Procedimentos hospitalares do SUS - por local de internação - Santa Catarina
Valor total por Município e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"420010 Abelardo Luz";25586,54;42535,54;41914,12;41547,10;51968,19;52299,80;55697,38;57009,22;54160,58;56313,67;55096,65;54955,06;48740,60;52857,48;53540,24;56484,82;53333,43;51959,41;54643,39;57683,04;51345,20;49740,84;53538,50;49082,11;51943,72;51963,62;54475,81;47710,33;54055,43;54508,65;61868,91;58827,63;60548,52;60327,01;55862,72;79673,70;62951,93;59642,95;57862,89;62742,88;57102,19;59377,34;67048,05;62085,34;58017,89;56528,03;63982,88;63912,16;61211,24;72277,53;71295,02;60397,06;54001,84;57342,14;64579,57;64638,66;55795,66;67174,55;65808,64;74013,16;64343,47;59186,73;75903,47;80311,89;92787,06;95420,53;101735,80;91760,39;87225,43;87620,21;78551,99;74386,95;61916,60;70135,46;75951,10;72277,68;83157,43;75786,81;62373,00;76458,81;86898,86;91566,07;69640,84;60180,05;59825,84;57425,77;76758,13;72304,73;79140,70;64145,39;75518,22;67254,20;67134,27;71529,75;76733,61;62881,37;58223,57;57948,31;56050,57;74115,17;74802,08;62078,76;63814,30;64324,88;47132,42;50959,13;46450,55;43541,54;44791,25;44753,01;30805,10;52632,39;68585,67;33388,02;73067,30;70900,19;79378,76;59186,47;49962,58;64879,16;51690,53;17957,23;105402,76;57485,91;108095,81;121262,78;83105,44;95906,89;120868,54;127051,10;101584,53;99128,03;93959,87;119226,99;148371,76;124512,03;162328,04;128183,33;159872,56;59480,51;182240,77;174712,55;116666,77;120507,37;147077,90;110196,44;110849,42;35614,57;23018,31;11420,00;31607,29;27975,36;23260,83;6125,74;151569,44;119009,65;27811,51;65012,27;84151,11;11145890,29
"420020 Agrolândia";10228,78;19844,99;13057,09;13178,41;13028,00;14055,49;14798,16;13752,35;15875,91;13682,32;15227,82;14786,66;15636,41;12776,97;15663,23;14029,96;16287,98;18407,41;14895,36;16329,89;14686,91;14915,93;13483,67;13955,95;13979,31;12291,57;14630,50;16435,66;15346,46;13311,97;12657,83;13348,90;14455,23;13387,64;14379,02;13489,77;11375,12;13194,41;15808,12;14734,72;14629,13;13230,16;14986,39;10810,14;13404,99;13208,01;12979,25;15723,22;12441,69;11490,49;14119,07;12050,87;13215,59;13088,98;13955,56;11175,06;11546,42;11858,78;8469,86;9769,26;13541,54;9095,08;12570,85;12916,45;10289,24;15327,82;15201,84;16467,92;17092,40;14839,08;17709,05;14141,49;17951,18;16435,90;11816,04;12580,49;10311,40;17012,34;21094,19;15531,03;17785,71;16427,43;11369,89;7094,96;6782,38;11284,49;12995,78;12149,33;15611,55;16135,44;10189,26;25577,87;17044,29;17361,64;14529,29;16106,44;14348,57;16927,13;10693,66;13421,24;16313,70;17936,26;12787,66;17115,74;16099,91;17447,65;12755,28;13330,23;10931,34;15706,39;13887,00;9985,73;13555,37;19477,96;32958,81;19266,60;1545,74;28355,26;16296,37;7796,86;4696,47;10306,57;7930,55;13269,85;10546,81;9560,40;11404,40;13704,56;16322,62;7979,27;10754,88;19883,81;23235,58;20032,36;-;-;13331,12;10456,51;11180,32;7628,12;11710,70;6434,90;6321,70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1963567,84
"420040 Água Doce";10809,42;11202,49;8246,92;11024,27;13235,32;10255,50;13722,39;10134,02;16159,60;12061,39;15611,11;13339,97;11250,10;10459,71;10695,79;12256,34;15947,14;12870,80;10041,53;14648,44;14047,24;13423,68;12779,52;10927,57;13701,39;9918,92;7364,02;12475,68;9790,24;13307,24;6838,94;15810,24;10282,57;14530,34;10775,57;15217,03;8520,84;12355,11;13747,47;10677,86;14655,52;10847,63;15295,33;10063,16;8315,89;3929,13;27037,30;14099,88;16287,93;4050,56;13582,93;9540,82;12721,00;11765,00;3641,32;12236,30;10573,51;12074,47;14089,15;19590,49;7934,21;8307,18;9286,23;11248,28;7781,70;13391,19;10483,11;13622,07;16566,14;11025,62;12251,04;16962,91;20003,02;13815,35;9423,50;12533,68;47457,69;19697,96;16454,48;22428,01;25230,18;24615,06;15128,15;11573,40;14439,23;11890,52;17832,59;22016,24;21410,19;28698,22;22668,31;18116,19;12864,14;21278,91;22216,21;15326,06;29433,95;23186,70;24210,93;22897,80;19259,62;30848,58;17468,44;23705,89;15856,86;26555,57;23898,48;19461,24;29558,85;16692,31;18397,23;12670,20;21213,26;22177,29;26670,81;24654,50;12885,59;16095,65;35405,69;22573,33;35947,75;11918,81;24390,95;22155,55;16596,81;25558,58;19659,76;28067,75;25197,18;40767,03;35267,83;23743,86;26288,97;19327,34;21283,10;17628,05;24579,36;26266,84;32855,97;24913,77;24916,77;23778,78;12995,49;17612,81;22566,36;11577,52;16688,97;12831,58;10852,37;13627,03;7187,45;7442,66;9055,73;9583,99;13769,54;11412,37;10496,62;11897,59;40114,67;2657440,34
"420070 Alfredo Wagner";18708,51;20226,56;13315,44;19502,11;15535,26;8560,96;10920,15;12591,34;11533,73;9310,72;12106,27;17305,70;16701,75;18516,88;26783,42;18171,16;23357,27;13921,47;13915,63;11796,92;21477,98;30945,61;25073,85;15461,15;26548,46;15061,12;21710,14;13589,57;15188,26;19150,22;14800,41;21726,17;11760,76;17702,93;20678,06;14213,96;22664,01;14986,25;17632,10;25066,08;12923,93;18109,15;11387,09;22915,38;11654,84;22505,18;17429,55;17782,27;17909,73;15706,90;16233,85;13945,44;22140,67;19755,77;24260,37;14056,94;16483,74;16675,76;16311,99;8297,65;15510,92;18128,72;18243,64;19019,03;13144,05;18773,77;17384,35;25225,34;19062,34;13499,95;15792,10;8899,79;14780,80;11674,50;12912,12;12613,05;13285,03;11550,28;12809,07;14967,91;19812,75;11835,17;11619,93;12004,52;9948,60;6235,94;15029,05;12601,33;10580,31;9026,91;14301,38;9540,45;11198,53;13206,86;11687,93;2247,00;7719,69;2005,01;14879,10;15382,64;17735,00;15015,88;15478,19;25998,42;20826,94;18352,56;29848,91;20829,18;28248,26;22513,38;23024,08;23160,01;24090,37;15836,90;23112,40;27729,14;21583,26;33297,97;26558,70;17033,44;22000,19;25441,62;14865,17;25398,87;23803,01;17535,17;23191,32;22464,50;20098,35;18095,43;20286,66;-;24023,41;29383,56;33592,50;17789,41;-;-;-;-;-;-;-;-;-;-;6799,08;5222,68;776,48;6410,89;-;11419,45;8275,72;1941,22;20504,37;-;-;26099,44;25147,82;2463683,71
"420080 Anchieta";14756,75;15452,38;17753,63;16111,64;15484,16;17639,36;14827,62;19307,86;17878,65;15482,02;14767,78;19014,90;14341,01;27315,10;22294,14;22716,55;23890,52;19490,41;23073,44;21650,46;21702,88;20524,32;15432,63;14968,25;-;22544,77;15360,39;9704,76;18818,01;20720,25;23494,44;27698,09;24228,37;24796,62;19012,80;18494,68;16754,36;17120,91;14944,05;12545,52;17671,56;12405,72;15548,36;16601,40;15968,70;15059,28;12607,61;16060,79;10721,60;13431,52;6904,43;16302,63;17198,60;14894,29;16210,61;16927,15;15470,12;14691,71;16302,34;10551,12;5031,80;20302,98;18947,58;18364,15;18682,14;15517,30;15711,53;16345,86;9650,56;16997,35;15452,04;13054,09;13748,17;14229,48;16634,31;15597,73;16180,90;12378,98;3748,30;45597,44;15409,03;5772,88;3339,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1370337,69
"420090 Angelina";30689,70;49617,26;44209,43;49480,07;55580,31;63358,80;72461,78;60783,91;53053,38;49950,31;45366,29;53204,64;28274,55;40064,37;45277,17;55814,71;49291,19;65145,43;69638,35;58244,32;58897,77;67405,65;54773,62;48149,39;56788,16;55673,97;57953,72;56590,85;60036,75;55589,92;57121,08;61425,05;57128,16;53685,57;60015,70;54675,05;81597,46;82636,99;62554,89;76268,19;75812,49;75198,33;60118,87;66324,84;51464,24;49532,43;65071,38;54651,75;57616,02;55470,72;59245,72;60641,63;52944,57;58378,40;59316,98;63627,16;61157,88;67033,81;69974,40;66752,47;87100,78;81364,47;85701,13;104141,71;82503,60;92545,97;88416,92;113169,09;90987,66;90617,97;85536,83;67070,23;92278,34;85263,12;69379,28;79217,17;99898,67;101311,31;81565,02;85372,28;99582,94;83082,46;110505,35;62954,81;57127,97;59299,48;79923,19;84126,97;77333,37;80108,04;106378,05;94780,86;96681,68;74542,70;67018,94;74262,75;36820,33;49119,92;45827,50;72417,27;53457,76;68163,42;39509,10;61090,78;52894,92;48308,32;44588,75;32274,60;36238,53;34379,92;34065,26;39423,24;32261,01;36003,62;33827,63;31216,93;27790,64;17019,74;13490,45;29608,11;21295,62;14725,30;15308,24;26497,04;28433,38;29474,48;26409,44;28016,13;33092,56;47992,63;42846,17;26522,21;41620,54;23096,77;33784,67;62147,82;75056,24;68711,98;60297,07;68381,29;55069,03;49107,43;40698,06;32677,64;30025,62;28759,56;30630,53;25670,59;36759,92;22354,09;14266,40;12356,10;19749,38;12970,18;32650,53;31051,31;27570,33;25568,49;31296,58;8862698,21
"420100 Anita Garibaldi";27191,63;28249,38;27870,09;18191,33;25307,19;23725,99;33715,58;24307,28;25017,55;28044,82;26696,93;27615,72;28387,42;37346,94;30007,48;25800,94;29500,51;32066,48;25826,97;31810,22;31141,07;36084,84;33412,47;25037,69;22990,88;30696,80;32079,59;25007,08;27865,66;29949,64;29679,14;30360,05;31515,28;29504,71;27578,43;24518,86;26528,57;31523,95;27595,47;33411,74;28115,31;28729,06;29473,13;30419,98;29440,48;32358,04;28416,45;28997,74;28095,85;27246,36;32196,04;9223,68;19315,87;27808,70;20399,15;25905,75;26901,54;30150,91;31424,30;30025,15;29082,93;28700,37;30217,41;31039,18;31641,59;30419,46;35219,64;52917,24;30964,49;34452,48;31717,64;31480,00;35647,71;33203,39;35772,70;31859,06;34051,36;32014,69;32980,76;32062,31;32081,23;32769,53;29184,43;28524,34;30429,51;29442,93;37980,95;35077,09;30889,44;47772,94;49370,76;46882,90;54537,77;44991,48;52496,97;34909,64;52968,24;41987,76;36453,50;33478,78;41409,55;48060,64;43678,83;41242,20;38080,03;36639,43;40408,01;31776,13;32662,69;43127,38;48688,52;44159,00;46457,35;49780,32;50816,60;41091,48;44570,45;44980,24;48951,73;42665,21;33650,73;46370,11;41941,19;42531,29;35277,54;37083,19;45826,83;43976,34;51225,68;32180,40;45398,25;46504,24;46050,51;34282,57;40123,39;41167,83;28548,83;34641,70;35700,48;28315,12;29347,79;35563,66;35662,83;28279,99;34961,78;44967,67;36846,05;20115,35;16857,58;13148,61;13835,70;18400,63;12715,00;42112,31;32894,78;25384,91;40387,17;22759,42;22941,11;5312704,81
"420110 Anitápolis";-;18203,89;13666,69;12296,89;11335,30;11411,23;12620,03;25003,63;23988,99;26024,18;17582,64;22136,89;18563,59;13752,98;11935,95;16804,15;15033,43;11264,53;9042,65;8467,38;9130,12;6585,45;6834,00;9548,46;7553,52;8048,58;5784,09;7913,94;10577,89;10108,72;13311,92;14311,52;8912,07;14123,33;9351,99;20824,44;6367,60;7331,44;8106,18;6727,97;5595,45;11068,30;12502,82;11339,73;7015,16;11104,17;18683,21;21088,32;13413,28;5792,19;9530,09;9994,64;4022,98;6234,82;7722,44;3612,63;2666,65;8566,17;11402,79;12064,28;10213,78;7849,82;8016,04;11649,57;9655,45;6895,51;5439,33;9796,16;6232,53;6448,72;8273,11;6801,61;5251,26;6019,43;10709,09;9070,39;10844,33;11354,89;11641,50;9559,52;10126,30;9346,51;11684,59;7525,63;19108,39;16782,35;13788,12;12937,21;16090,87;16384,12;20647,55;18094,67;20434,80;20778,12;19893,25;16943,53;23581,46;20582,40;16202,78;20630,69;19025,92;16889,23;16089,12;20905,35;17422,39;18967,52;18965,44;12740,39;26478,57;18728,72;21473,17;14001,04;29182,28;25748,67;21679,98;16133,43;24041,59;17852,01;18345,23;16545,56;13533,33;17144,98;11480,36;23844,05;21466,92;17220,95;21078,39;21279,05;17918,65;-;-;10076,06;14035,59;21950,01;16669,63;18580,50;15084,31;16813,85;17532,21;7263,61;27673,47;23555,53;18176,55;17693,34;16735,14;21655,97;22717,93;3284,23;-;-;-;-;-;4329,09;-;1889,70;4953,96;6022,96;9423,79;2059593,47
"420127 Arabutã";3015,93;5130,04;4253,38;4255,06;2960,98;2797,66;2151,03;3586,30;2272,75;4004,92;3606,97;2715,21;2622,81;2952,32;2165,81;3320,56;4599,06;5428,10;10135,79;8766,69;5059,56;4563,51;5376,04;5686,09;5404,29;4466,64;3979,50;3628,07;5205,22;4288,68;5477,55;5462,00;5472,98;7432,87;4806,18;5066,70;4421,77;3964,82;5121,86;5208,17;5517,69;4540,15;2808,87;4957,54;4044,84;6422,42;4902,57;3691,43;4341,42;1820,47;-;5829,63;1089,89;5044,17;3814,58;3366,26;2870,36;324,90;4360,01;2518,34;2277,85;2016,71;2306,60;1644,03;1284,96;3886,48;2923,59;2637,06;3265,62;2686,53;2768,95;3075,26;2059,53;2227,45;1908,03;5413,91;1394,71;3343,92;-;3489,41;2139,92;4438,50;904,90;1352,18;835,86;1083,29;-;3691,62;6841,13;5597,78;5650,04;-;13473,08;2278,04;-;-;5478,52;582,42;5570,78;-;-;-;3311,75;7118,53;2143,11;6673,72;1850,04;2708,84;2576,71;3613,89;2872,61;5411,57;3161,26;3285,52;6386,99;8173,51;12047,87;6145,16;7183,91;6461,27;2756,32;5991,59;7265,68;3443,27;12791,18;12713,73;-;15097,29;-;-;-;16946,32;2405,01;3522,60;2492,76;367,44;1912,37;2147,55;9329,73;16348,80;12952,41;9647,22;7998,42;9972,72;852,80;2204,84;5937,46;2995,74;3454,11;10334,49;-;7085,71;3518,23;5741,27;4783,13;1771,90;-;465,65;-;660002,07
"420140 Araranguá";334442,72;268225,49;315926,01;333438,09;296077,03;295276,68;345212,12;284802,66;312458,94;308691,14;290410,14;369732,67;337211,69;310801,52;315950,90;378069,38;360704,46;367055,92;376553,81;378757,68;412049,82;407849,47;388862,48;390034,85;311049,66;325127,85;361420,93;348775,50;364873,90;357844,17;342577,98;395615,73;362382,83;361687,45;361296,39;378410,57;366032,95;358540,52;356728,93;361709,39;368962,17;377347,64;368952,19;386003,62;419375,62;559456,46;356246,88;356034,40;357526,78;362500,78;370740,36;375710,08;337825,77;328624,01;425991,23;447088,02;338161,61;415961,15;435795,44;453680,55;583659,10;434456,94;407561,45;468170,20;461728,15;431887,69;379042,99;474968,86;491896,21;480619,42;550750,16;465683,95;447221,90;571336,18;479603,54;561762,09;575987,63;594179,69;533550,63;594078,06;549467,77;598019,30;412811,41;537339,81;450905,22;453257,28;558086,79;586489,59;459957,14;520790,06;562089,98;523753,09;511243,96;510229,48;493701,68;538881,56;476277,82;433814,97;546627,85;498590,05;603240,13;586259,95;523782,20;539185,82;355734,73;561327,04;383511,38;648216,47;490931,85;477603,39;466965,06;307620,50;780588,76;534197,10;492966,46;492927,73;457204,24;412966,75;387646,69;240706,15;-;515198,37;535076,44;501266,67;504448,83;525778,01;619530,23;458934,20;317818,94;735951,63;475586,35;465893,07;487991,52;227125,42;349424,06;254753,86;915119,48;458474,72;583360,76;469843,67;438488,32;547718,41;460314,60;439076,55;481317,06;466259,87;435852,92;412927,30;514334,06;471743,55;1102318,39;558393,79;347908,63;471306,69;442554,14;1674797,82;1320929,86;1087290,87;1377810,82;74141637,11
